PassengerId,Pclass,Survived,Name,Sex,Age,Sibsp,Parch,Ticket,Fare,Embarked,Actual_Fare
1,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,24160,211.3375,S,5360.436930555556
2,1,1,"Allison, Master. Hudson Trevor",male,0.9167,1,2,113781,151.55,S,3843.966247474748
3,1,0,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,S,3843.966247474748
4,1,0,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781,151.55,S,3843.966247474748
5,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,S,3843.966247474748
6,1,1,"Anderson, Mr. Harry",male,48.0,0,0,19952,26.55,S,673.4233181818181
7,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,S,1977.3610947575753
8,1,0,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,72.15,S,1830.0373787878789
9,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,11769,51.4792,S,1305.7361085252526
10,1,0,"Artagaveytia, Mr. Ramon",male,71.0,0,0,PC 17609,49.5042,C,1255.641530242424
11,1,0,"Astor, Col. John Jacob",male,47.0,1,0,PC 17757,227.525,C,5771.02223989899
12,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,PC 17757,227.525,C,5771.02223989899
13,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,C,1757.7489999999998
14,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,S,1999.9784797979796
15,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,27042,30.0,S,760.930303030303
17,1,0,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,C,6278.202578343435
18,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,C,6278.202578343435
19,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,C,1935.0888799898992
20,1,0,"Beattie, Mr. Thomson",male,36.0,0,0,13050,75.2417,C,1908.456319383838
21,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,S,1333.0027777171717
22,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,11751,52.5542,S,1333.0027777171717
23,1,1,"Behr, Mr. Karl Howell",male,26.0,0,0,111369,30.0,C,760.930303030303
24,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,PC 17757,227.525,C,5771.02223989899
25,1,1,"Bird, Miss. Ellen",female,29.0,0,0,PC 17483,221.7792,S,5625.28379539394
26,1,0,"Birnbaum, Mr. Jakob",male,25.0,0,0,13905,26.0,C,659.4729292929293
27,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,11967,91.0792,C,2310.1641085252522
28,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,11967,91.0792,C,2310.1641085252522
29,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,S,3440.249602333333
30,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,110564,26.55,S,673.4233181818181
31,1,0,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,S,900.434191919192
32,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,C,786.2946464646465
33,1,1,"Bonnell, Miss. Caroline",female,30.0,0,0,36928,164.8667,S,4181.735599686869
34,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,673.4233181818181
35,1,0,"Borebank, Mr. John James",male,42.0,0,0,110489,26.55,S,673.4233181818181
36,1,1,"Bowen, Miss. Grace Scott",female,45.0,0,0,PC 17608,262.375,C,6654.969608585859
37,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,113505,55.0,S,1395.0388888888888
39,1,0,"Brady, Mr. John Bertram",male,41.0,0,0,113054,30.5,S,773.6124747474747
40,1,0,"Brandeis, Mr. Emil",male,48.0,0,0,PC 17591,50.4958,C,1280.7928131919193
42,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,C,703.1198914747474
43,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,11769,51.4792,S,1305.7361085252526
44,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0,0,11813,76.2917,C,1935.0888799898992
45,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,C,3411.5041919191917
46,1,0,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,S,673.4233181818181
48,1,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,S,666.765178030303
49,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,0,0,PC 17606,27.4458,C,696.144697030303
50,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,PC 17755,512.3292,C,12994.893780242424
51,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0,1,PC 17755,512.3292,C,12994.893780242424
52,1,0,"Carlsson, Mr. Frans Olof",male,33.0,0,0,695,5.0,S,126.82171717171718
53,1,0,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,S,1194.6605757575758
54,1,0,"Carrau, Mr. Jose Pedro",male,17.0,0,0,113059,47.1,S,1194.6605757575758
55,1,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,S,3043.721212121212
56,1,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,113760,120.0,S,3043.721212121212
57,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,S,3043.721212121212
58,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,S,3043.721212121212
59,1,0,"Case, Mr. Howard Brown",male,49.0,0,0,19924,26.0,S,659.4729292929293
61,1,0,"Cavendish, Mr. Tyrell William",male,36.0,1,0,19877,78.85,S,1999.9784797979796
62,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1,0,19877,78.85,S,1999.9784797979796
63,1,0,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,S,1551.6637095959595
64,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1,0,W.E.P. 5734,61.175,S,1551.6637095959595
65,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1,0,113806,53.1,S,1346.8466363636362
66,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1,0,113806,53.1,S,1346.8466363636362
67,1,1,"Chaudanson, Miss. Victorine",female,36.0,0,0,PC 17608,262.375,C,6654.969608585859
68,1,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,S,2194.015707070707
69,1,1,"Chevre, Mr. Paul Romaine",male,45.0,0,0,PC 17594,29.7,C,753.3209999999999
72,1,0,"Clark, Mr. Walter Miller",male,27.0,1,0,13508,136.7792,C,3469.3146034747474
73,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1,0,13508,136.7792,C,3469.3146034747474
74,1,1,"Cleaver, Miss. Alice",female,22.0,0,0,113781,151.55,S,3843.966247474748
76,1,0,"Colley, Mr. Edward Pomeroy",male,47.0,0,0,5727,25.5875,S,649.0101376262626
77,1,1,"Compton, Miss. Sara Rebecca",female,39.0,1,1,PC 17756,83.1583,C,2109.2556806161615
78,1,0,"Compton, Mr. Alexander Taylor Jr",male,37.0,1,1,PC 17756,83.1583,C,2109.2556806161615
79,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,64.0,0,2,PC 17756,83.1583,C,2109.2556806161615
80,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,2,0,11770,25.7,S,651.8636262626262
82,1,0,"Crosby, Capt. Edward Gifford",male,70.0,1,1,WE/P 5735,71.0,S,1800.868383838384
83,1,1,"Crosby, Miss. Harriet R",female,36.0,0,2,WE/P 5735,71.0,S,1800.868383838384
84,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,64.0,1,1,112901,26.55,S,673.4233181818181
85,1,0,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C,1808.054102333333
86,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,1808.054102333333
87,1,1,"Daly, Mr. Peter Denis ",male,51.0,0,0,113055,26.55,S,673.4233181818181
88,1,1,"Daniel, Mr. Robert Williams",male,27.0,0,0,113804,30.5,S,773.6124747474747
89,1,1,"Daniels, Miss. Sarah",female,33.0,0,0,113781,151.55,S,3843.966247474748
90,1,0,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,S,1318.9458585858586
91,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,1,2,F.C. 12750,52.0,S,1318.9458585858586
92,1,1,"Dick, Mr. Albert Adrian",male,31.0,1,0,17474,57.0,S,1445.7675757575757
93,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,S,1445.7675757575757
94,1,1,"Dodge, Dr. Washington",male,53.0,1,1,33638,81.8583,S,2076.282034151515
95,1,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,S,2076.282034151515
96,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,1,1,33638,81.8583,S,2076.282034151515
97,1,0,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C,2699.4002499999997
98,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,1,1,PC 17558,247.5208,C,6278.202578343435
99,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,1,0,PC 17761,106.425,C,2699.4002499999997
100,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,C,1004.428
101,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,1,0,PC 17485,56.9292,C,1443.9717802424243
102,1,0,"Dulles, Mr. William Crothers",male,39.0,0,0,PC 17580,29.7,C,753.3209999999999
103,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,0,1,11767,83.1583,C,2109.2556806161615
104,1,1,"Endres, Miss. Caroline Louise",female,38.0,0,0,PC 17757,227.525,C,5771.02223989899
105,1,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,1,0,36947,78.2667,C,1985.183458272727
106,1,0,"Evans, Miss. Edith Corse",female,36.0,0,0,PC 17531,31.6792,C,803.5221085252525
110,1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,S,669.3016123737373
111,1,0,"Foreman, Mr. Benjamin Laventall",male,30.0,0,0,113051,27.75,C,703.8605303030303
112,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,S,6670.8223232323235
113,1,1,"Fortune, Miss. Ethel Flora",female,28.0,3,2,19950,263.0,S,6670.8223232323235
114,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,S,6670.8223232323235
115,1,0,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,6670.8223232323235
116,1,0,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,S,6670.8223232323235
117,1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,1,4,19950,263.0,S,6670.8223232323235
118,1,1,"Francatelli, Miss. Laura Mabel",female,30.0,0,0,PC 17485,56.9292,C,1443.9717802424243
120,1,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,S,3389.9445
121,1,1,"Frauenthal, Mr. Isaac Gerald",male,43.0,1,0,17765,27.7208,C,703.1198914747474
123,1,1,"Frolicher, Miss. Hedwig Margaritha",female,22.0,0,2,13568,49.5,C,1255.535
124,1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,1,1,13567,79.2,C,2008.856
125,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,1,1,13567,79.2,C,2008.856
127,1,0,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,S,1346.8466363636362
128,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,1346.8466363636362
129,1,0,"Gee, Mr. Arthur H",male,47.0,0,0,111320,38.5,S,976.5272222222222
130,1,1,"Geiger, Miss. Amalie",female,35.0,0,0,113503,211.5,C,5364.558636363636
131,1,1,"Gibson, Miss. Dorothy Winifred",female,22.0,0,1,112378,59.4,C,1506.6419999999998
132,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,0,1,112378,59.4,C,1506.6419999999998
133,1,0,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,C,2008.856
134,1,1,"Goldenberg, Mr. Samuel L",male,49.0,1,0,17453,89.1042,C,2260.0695302424247
136,1,0,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,C,878.9810302424244
137,1,1,"Gracie, Col. Archibald IV",male,53.0,0,0,113780,28.5,C,722.8837878787879
138,1,1,"Graham, Miss. Margaret Edith",female,19.0,0,0,112053,30.0,S,760.930303030303
139,1,0,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,S,3892.4755542929292
140,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,S,3892.4755542929292
141,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,C,1607.0416806161616
142,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0,1,PC 17759,63.3583,C,1607.0416806161616
143,1,0,"Guggenheim, Mr. Benjamin",male,46.0,0,0,PC 17593,79.2,C,2008.856
144,1,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,C,1406.2423193838383
145,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,1,0,11765,55.4417,C,1406.2423193838383
146,1,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,C,1946.1857802424242
147,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,C,1946.1857802424242
149,1,0,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,S,2117.288568181818
150,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,S,2117.288568181818
151,1,0,"Harrison, Mr. William",male,40.0,0,0,112059,72.15,S,1830.0373787878789
152,1,1,"Hassab, Mr. Hammad",male,27.0,0,0,PC 17572,76.7292,C,1946.1857802424242
154,1,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C,2109.2556806161615
155,1,0,"Hays, Mr. Charles Melville",male,55.0,1,1,12749,93.5,S,2371.566111111111
156,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,1,1,12749,93.5,S,2371.566111111111
157,1,0,"Head, Mr. Christopher",male,42.0,0,0,113038,42.5,S,1077.984595959596
159,1,0,"Hipkins, Mr. William Edward",male,55.0,0,0,680,50.0,S,1268.2171717171716
160,1,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,C,1470.6043408484848
161,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,0,1,111361,57.9792,C,1470.6043408484848
162,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,1,0,13502,77.9583,S,1977.3610947575753
163,1,0,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,1318.9458585858586
164,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,S,1318.9458585858586
165,1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,C,673.4233181818181
166,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,S,2282.7909090909093
168,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,1,0,19943,90.0,S,2282.7909090909093
169,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,S,2029.147474747475
170,1,0,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C,728.2737108585858
171,1,1,"Ismay, Mr. Joseph Bruce",male,49.0,0,0,112058,72.15,S,1830.0373787878789
172,1,0,"Jones, Mr. Charles Cresson",male,46.0,0,0,694,26.0,S,659.4729292929293
173,1,0,"Julian, Mr. Henry Forbes",male,50.0,0,0,113044,26.0,S,659.4729292929293
174,1,0,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C,5364.558636363636
175,1,0,"Kent, Mr. Edward Austin",male,58.0,0,0,11771,29.7,C,753.3209999999999
176,1,0,"Kenyon, Mr. Frederick R",male,41.0,1,0,17464,51.8625,S,1315.4582613636362
178,1,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1,0,11753,52.5542,S,1333.0027777171717
179,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,1,0,11753,52.5542,S,1333.0027777171717
181,1,1,"Kreuchen, Miss. Emilie",female,39.0,0,0,24160,211.3375,S,5360.436930555556
182,1,1,"Leader, Dr. Alice (Farnham)",female,49.0,0,0,17465,25.9292,S,657.6771337777777
183,1,1,"LeRoy, Miss. Bertha",female,30.0,0,0,PC 17761,106.425,C,2699.4002499999997
184,1,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,C,12994.893780242424
186,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42.0,0,0,17475,26.55,S,673.4233181818181
187,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,0,0,112377,27.7208,C,703.1198914747474
188,1,1,"Lines, Miss. Mary Conover",female,16.0,0,1,PC 17592,39.4,S,999.3551313131312
189,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,0,1,PC 17592,39.4,S,999.3551313131312
190,1,0,"Long, Mr. Milton Clyde",male,29.0,0,0,113501,30.0,S,760.930303030303
191,1,1,"Longley, Miss. Gretchen Fiske",female,21.0,0,0,13502,77.9583,S,1977.3610947575753
192,1,0,"Loring, Mr. Joseph Holland",male,30.0,0,0,113801,45.5,S,1154.0776262626264
193,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,C,3716.4038914747475
194,1,1,"Madill, Miss. Georgette Alexandra",female,15.0,0,1,24160,211.3375,S,5360.436930555556
195,1,0,"Maguire, Mr. John Edward",male,30.0,0,0,110469,26.0,S,659.4729292929293
196,1,1,"Maioni, Miss. Roberta",female,16.0,0,0,110152,86.5,S,2194.015707070707
198,1,0,"Marvin, Mr. Daniel Warner",male,19.0,1,0,113773,53.1,S,1346.8466363636362
199,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,1,0,113773,53.1,S,1346.8466363636362
200,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,0,0,PC 17482,49.5042,C,1255.641530242424
201,1,0,"McCaffry, Mr. Thomas Francis",male,46.0,0,0,13050,75.2417,C,1908.456319383838
202,1,0,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,1315.4582613636362
203,1,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,S,666.765178030303
204,1,0,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,2084.2083914747477
206,1,0,"Millet, Mr. Francis Davis",male,65.0,0,0,13509,26.55,S,673.4233181818181
207,1,0,"Minahan, Dr. William Edward",male,44.0,2,0,19928,90.0,Q,2282.7909090909093
208,1,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,Q,2282.7909090909093
209,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,1,0,19928,90.0,Q,2282.7909090909093
210,1,1,"Mock, Mr. Philipp Edmund",male,30.0,1,0,13236,57.75,C,1464.7908333333332
211,1,0,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,S,773.6124747474747
212,1,0,"Moore, Mr. Clarence Bloomfield",male,47.0,0,0,113796,42.4,S,1075.4481616161615
213,1,0,"Natsch, Mr. Charles H",male,37.0,0,1,PC 17596,29.7,C,753.3209999999999
214,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,C,2873.1460025252527
215,1,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,C,2873.1460025252527
216,1,0,"Newell, Mr. Arthur Webster",male,58.0,0,2,35273,113.275,C,2873.1460025252527
217,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,S,666.6586477878787
218,1,0,"Nicholson, Mr. Arthur Ernest",male,64.0,0,0,693,26.0,S,659.4729292929293
219,1,1,"Oliva y Ocana, Dona. Fermina",female,39.0,0,0,PC 17758,108.9,C,2762.177
221,1,1,"Ostby, Miss. Helene Ragnhild",female,22.0,0,1,113509,61.9792,C,1572.0617145858585
222,1,0,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,C,1572.0617145858585
223,1,0,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,27.7208,C,703.1198914747474
225,1,0,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,S,722.8837878787879
226,1,0,"Payne, Mr. Vivian Ponsonby",male,23.0,0,0,12749,93.5,S,2371.566111111111
227,1,0,"Pears, Mr. Thomas Clinton",male,29.0,1,0,113776,66.6,S,1689.2652727272723
228,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,S,1689.2652727272723
229,1,0,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C,2762.177
